idpozo,idempresa,empresa,cuenca,provincia,formacion,tipo_de_recurso,n_meses,prod_pet_annual
212,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,738.14
214,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,943.38
215,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,651.99
216,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,494.94
217,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,293.06
218,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,774.55
219,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,189.29
225,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,406.09
226,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,444.28000000000003
228,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,583.3
230,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,91.32000000000001
231,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,142.49
232,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,919.96
233,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,9,389.69
235,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,399.17
236,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,157.5
237,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,290.62
239,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,317.87
240,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,364.29
241,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,669.74
242,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,172.41
243,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,576.34
244,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,203.24
251,COH,COLHUE HUAPI S.A.,GOLFO SAN JORGE,Chubut,comodoro rivadavia,CONVENCIONAL,12,307.46000000000004
387,INT,INTEROIL ARGENTINA S A,GOLFO SAN JORGE,Chubut,castillo,CONVENCIONAL,3,123.63
466,INT,INTEROIL ARGENTINA S A,GOLFO SAN JORGE,Chubut,castillo,CONVENCIONAL,10,448.11
475,INT,INTEROIL ARGENTINA S A,GOLFO SAN JORGE,Chubut,castillo,CONVENCIONAL,10,189.86
484,INT,INTEROIL ARGENTINA S A,GOLFO SAN JORGE,Chubut,castillo,CONVENCIONAL,1,6.83
495,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,12,271.7707
496,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,12,155.0804
497,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,12,10.35
500,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,12,170.9791
501,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,12,223.3041
506,PIE,Pilgrim Energy S.A.,GOLFO SAN JORGE,Chubut,bajo barreal,CONVENCIONAL,3,180.667
530,REFS,RECURSOS Y ENERGIA FORMOSA S.A.,NOROESTE,Formosa,palmar largo,CONVENCIONAL,12,640.42
533,REFS,RECURSOS Y ENERGIA FORMOSA S.A.,NOROESTE,Formosa,palmar largo,CONVENCIONAL,9,879.38
544,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,418.13583
555,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,81.609067
556,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,295.38361
558,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,260.06714
559,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,279.20853
560,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,0.0
561,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,367.30813
563,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,182.36074200000002
565,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,31.018596
566,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,854.2656
567,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,599.262418
568,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,74.451461
572,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,775.33974
573,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,153.03072
574,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,0.0
576,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,1,0.0
577,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,1,15.28331
739,ACO,Petrolera Aconcagua Energia S.A.,CUYANA,Mendoza,barrancas,CONVENCIONAL,11,1255.82
2781,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,11,0.0
2787,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,122.03578800000001
3203,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,81.609067
3204,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,407.91069
3206,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,870.65962
3207,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,157.054809
3208,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,244.872064
3209,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,161.716139
3210,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,57.605967
3211,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,854.2656
3212,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,66.022995
3214,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,sierras blancas,CONVENCIONAL,12,82.401154
3218,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,743.71599
3219,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,sierras blancas,CONVENCIONAL,12,39.142947
3220,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,166.021726
3221,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,52.427915
3222,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,44.552295
3224,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,178.209185
3228,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,sierras blancas,CONVENCIONAL,12,240.701786
3230,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,390.36662
3233,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,11.743712
3234,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,5.0330200000000005
3235,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,167.299976
3237,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,quintuco,CONVENCIONAL,3,39.389610016999995
3238,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,quintuco,CONVENCIONAL,12,84.27946
3239,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,choiyoi,CONVENCIONAL,12,84.27946
3241,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,quintuco,CONVENCIONAL,11,267.332130666
3242,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,quintuco,CONVENCIONAL,12,706.60182116
3243,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,tordillo,CONVENCIONAL,12,900.53757644
3244,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,tordillo,CONVENCIONAL,12,318.896947239
3245,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,tordillo,CONVENCIONAL,12,345.36256123
3248,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,tordillo,CONVENCIONAL,12,295.20216483
3249,ACO,Petrolera Aconcagua Energia S.A.,NEUQUINA,Neuquén,tordillo,CONVENCIONAL,12,585.95982603
